episode,reward,steps,epsilon,success
167,-25.0,18,0.43296668905325736,1
168,2.0,9,0.43080185560799106,1
169,-19.0,12,0.4286478463299511,1
170,-8.0,10,0.42650460709830135,1
171,-2.0,13,0.42437208406280985,1
172,-4.0,15,0.4222502236424958,1
173,-5.0,7,0.42013897252428334,1
174,4.0,7,0.4180382776616619,1
175,5.0,6,0.4159480862733536,1
176,4.0,7,0.41386834584198684,1
177,-7.0,9,0.4117990041127769,1
178,4.0,7,0.40974000909221303,1
179,3.0,8,0.40769130904675194,1
180,-8.0,10,0.40565285250151817,1
181,1.0,10,0.4036245882390106,1
182,1.0,10,0.4016064652978155,1
183,-6.0,8,0.3995984329713264,1
184,3.0,8,0.3976004408064698,1
185,5.0,6,0.39561243860243744,1
186,-12.0,14,0.3936343764094253,1
187,5.0,6,0.39166620452737816,1
188,5.0,6,0.3897078735047413,1
189,5.0,6,0.3877593341372176,1
190,-16.0,9,0.3858205374665315,1
191,0.0,11,0.38389143477919885,1
192,5.0,6,0.3819719776053028,1
193,2.0,9,0.3800621177172763,1
194,1.0,10,0.37816180712868996,1
195,4.0,7,0.37627099809304654,1
196,4.0,7,0.3743896431025813,1
197,5.0,6,0.37251769488706843,1
198,0.0,11,0.3706551064126331,1
199,0.0,11,0.36880183088056995,1
200,-9.0,11,0.3669578217261671,1
201,0.0,11,0.36512303261753626,1
202,0.0,11,0.3632974174544486,1
203,3.0,8,0.3614809303671764,1
204,-1.0,12,0.3596735257153405,1
205,5.0,6,0.3578751580867638,1
206,5.0,6,0.35608578229633,1
207,5.0,6,0.3543053533848483,1
208,5.0,6,0.35253382661792404,1
209,2.0,9,0.3507711574848344,1
210,-9.0,11,0.34901730169741024,1
211,5.0,6,0.3472722151889232,1
212,-5.0,7,0.3455358541129786,1
213,5.0,6,0.3438081748424137,1
214,0.0,11,0.3420891339682016,1
215,-33.0,26,0.3403786882983606,1
216,0.0,11,0.3386767948568688,1
217,5.0,6,0.33698341088258443,1
218,5.0,6,0.3352984938281715,1
219,4.0,7,0.33362200135903064,1
220,3.0,8,0.33195389135223546,1
221,4.0,7,0.3302941218954743,1
222,3.0,8,0.32864265128599696,1
223,4.0,7,0.326999438029567,1
224,3.0,8,0.3253644408394192,1
225,-2.0,13,0.3237376186352221,1
226,-15.0,8,0.322118930542046,1
